OBJECTID,NTRCODIGO,NTRNOMBRE,NTRTIPO,NTRMODO,NTRMTRANSP,GLOBALID,Shape__Area,Shape__Length
137,73,SAN VICTORINO,2,2,5,2e9fc1f6-59e6-40b6-a531-08958ffba107,5.84590509333793e-08,0.00299520712830909
138,106,CAN,2,2,5,cc9d1b9d-2a66-426c-85ef-32b7cacda105,4.72651606742147e-08,0.00294766478119904
139,64,GOBERNACIÓN,2,2,5,4d7f3ac4-8fc8-45b2-9b57-a326bc346739,5.83523558361776e-08,0.00305401648295466
140,65,QUINTA PAREDES,2,2,5,1d8caf2e-db9d-48e8-b76b-fa34d3f49b4f,4.81423967357841e-08,0.00293771391510413
143,151,PORTAL DE SUBA,3,2,5,f71ac606-368d-42b9-8567-05cb9cce3e11,8.10484391422506e-06,0.0150076212580129
144,74,MUSEO DEL ORO,2,2,5,91f4c5a2-0c9c-4b33-8678-5171a305ee86,2.07863024570543e-08,0.00109148124852837
146,1908,CORABASTOS CENTRAL DE ABASTOS,1,2,11,de8e444e-2d02-457c-a7b3-5a58cc82766d,3.43891657053064e-05,0.0267984686781743
147,1903,CODABAS CENTRAL DE ABASTOS DEL NORTE,1,2,11,038add11-c01e-4904-b8e5-92f7893acdb3,3.11403050545778e-06,0.00751276731244287
148,1111,TERMINAL DE TRANSPORTES DE BOGOTA,1,2,10,d95dc1f5-a997-4dc2-8716-c4cdeca7d34e,9.73862697151162e-06,0.0165651368598947
149,1112,TERMINAL DE TRANSPORTES DEL SUR,1,2,10,8e8d1e53-2fcf-4be4-a870-dd8176f66d4d,8.70717457246428e-07,0.00419986489742064
150,1113,AEROPUERTO EL DORADO,1,1,1,4f56ff01-dc36-4eb5-9ddc-4de0269088c3,0.000732680609928593,0.169051506319544
152,1902,AEROPUERTO GUAYMARAL,1,1,1,981b8702-d72f-48be-bd21-c806e8d5a1e1,7.41887861863688e-05,0.0502683902237713
154,6,BICENTENARIO,2,2,5,afe32fc9-2b80-414b-8740-312c22aa8c6a,7.03772400356684e-08,0.00282724503611195
156,16,CALLE 40 SUR,2,2,5,cfb8da35-0052-4fb0-a65f-f3572fa512b8,5.04727211136924e-08,0.00275423008211762
165,49,HORTUA,2,2,5,e6d28d21-7ea7-401d-9a2c-4933efb9eef5,2.96398070531723e-08,0.0016538574911465
169,71,AV JIMENEZ,2,2,5,76150052-ee72-46b2-a666-efdbe2b6818d,5.45694831544097e-08,0.0029013291817422
172,75,CALLE 19,2,2,5,859f6192-68fa-4ea2-9e3e-caa41f977d2d,4.80419259929477e-08,0.00268983632891926
173,77,CALLE 22,2,2,5,7b259c32-c693-4b26-80c8-ed736168a15c,4.59326656709891e-08,0.00267919089386929
176,80,CALLE 26,2,2,5,940141b6-589f-4985-bce6-0983c3cae869,5.13989846240293e-08,0.00276290279421901
177,94,AV 39,2,2,5,f6f15fd2-0820-4a83-87b1-4ef3bae77116,5.22002210345818e-08,0.00279650711186087
180,95,CALLE 45,2,2,5,112642c1-e470-4174-b3a9-00edcbeb23e5,5.21940819453448e-08,0.00280070387140306
183,97,MARLY,2,2,5,3526e6f6-481d-4a08-8e6d-83c839315e6b,4.96451946219167e-08,0.00275227326612718
186,99,CALLE 57,2,2,5,83178a1c-86f7-4416-ab5c-2dae56eca90d,5.18805052251992e-08,0.00276477274292512
189,100,CALLE 63,2,2,5,9ca8fec5-d1c7-4568-a44c-2735f802c3dd,5.29005603766564e-08,0.0027968389542755
194,131,HEROES,2,2,5,e7515048-09ed-4a2e-a3bf-c078d5673767,7.8224019262052e-08,0.00515502404731437
209,157,ALCALA,2,2,5,e2acbcc2-c5d4-4da3-8c75-6998a8a96eb9,5.86462647333974e-08,0.00310377206835626
214,158,CALLE 142,2,2,5,02c46503-32c5-4b22-9005-3d931e0e739f,5.67673907880817e-08,0.00389965248491124
215,172,TERMINAL,2,2,5,729e9bfb-719a-4dda-aba8-e53b79a69622,4.67311451757269e-08,0.00225170963728275
216,1915,TERMINAL DE PASAJEROS DE TRANSPORTE INTERURBANO DEL NORTE,1,2,10,4504b5cd-79e9-4743-9e85-a99b1c916ef6,8.52297236519917e-06,0.0203651870362721
225,180,ESTACION BOSA,2,2,5,09370a39-a43f-47c0-bcd1-9f86ecd88ab4,2.97212636723998e-08,0.00183164141017043
230,118,AV CHILE,2,2,5,91a2c8c2-7205-4e96-967e-41292bddb396,7.09603114046331e-08,0.00496782522429422
239,130,LA CASTELLANA,2,2,5,e279e336-9d36-4dfe-b868-c10d1bc4ec94,3.38110339725972e-08,0.00249101144620784
242,110,GRANJA - CARRERA 77,2,2,5,71af3ad4-86bb-449a-872e-cbdba7515429,7.81608378019882e-08,0.00412721322220494
245,169,AV. ROJAS,2,2,5,bdb32b27-f2ef-4d77-90c9-9a586dc0e975,8.58414637150418e-08,0.00412780923994511
259,57,RICAURTE,2,2,5,0f5501fd-2c09-4e74-a1b4-cdd7ad21164e,8.82597817053465e-08,0.00367806730375697
264,59,AMERICAS - CARRERA 53A,2,2,5,c64152bf-4ecc-40e5-9e3b-3c9d8b76b3fe,6.68451889396238e-08,0.00414985234405383
267,32,TRANSVERSAL 86,2,2,5,04bc5fd2-9225-4cde-a054-c84851059d37,6.79244749335339e-08,0.00393818785172573
272,9,PORTAL DEL TUNAL,3,2,5,4776eacf-3e51-4681-865c-4d929692d407,3.28450815345605e-06,0.00928265615873416
273,13,PARQUE,2,2,5,30d5e91c-0bc6-4500-be3f-5ffda0de4420,2.74670526323462e-08,0.00203717051426223
275,14,BIBLIOTECA,2,2,5,0831b53a-f7f9-46b5-aaa4-440e0ae7bbc9,2.74669389455084e-08,0.0020371810144649
283,79,MUSEO NACIONAL,2,2,5,9ab52578-b213-4588-9f9e-35ce3085054a,6.14413409039116e-08,0.00138667100502503
291,154,SUBA AV BOYACA,2,2,5,e55cf2d1-a06a-49ae-ad52-8f4c140c3dd9,3.63259857749654e-08,0.00209129026207685
